"T","G","weight","cohort_raw","cohort_year","cohort_lab"
217,42,0.00168469481282137,193,2020,"Cohort 2020"
218,42,0.00128309739659387,193,2020,"Cohort 2020"
219,42,0.000961624161493451,193,2020,"Cohort 2020"
220,42,0.00231674423515542,193,2020,"Cohort 2020"
221,42,0.00161333847502048,193,2020,"Cohort 2020"
222,42,0.000998742400827795,193,2020,"Cohort 2020"
223,42,0.00160255784484476,193,2020,"Cohort 2020"
224,42,0.000969436065015481,193,2020,"Cohort 2020"
225,42,0.00132105677505206,193,2020,"Cohort 2020"
226,42,0.00230810940076931,193,2020,"Cohort 2020"
227,42,0.00127949909429685,193,2020,"Cohort 2020"
228,42,0.0012006774530409,193,2020,"Cohort 2020"
229,42,0.00124676319442142,193,2020,"Cohort 2020"
230,42,0.00191085636336827,193,2020,"Cohort 2020"
231,42,0.000895120323766627,193,2020,"Cohort 2020"
232,42,0.00180504584971784,193,2020,"Cohort 2020"
233,42,0.000515038787433561,193,2020,"Cohort 2020"
234,42,0.000297199663955254,193,2020,"Cohort 2020"
235,42,0.00115029607784816,193,2020,"Cohort 2020"
237,42,0.00148080368547268,193,2020,"Cohort 2020"
238,42,0.000929141590458397,193,2020,"Cohort 2020"
239,42,0.00185754557863336,193,2020,"Cohort 2020"
